         12034466 function calls (12015644 primitive calls) in 89.406 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      650    0.000    0.000    0.000    0.000 transforms.py:2688(get_matrix)
      178    0.000    0.000    0.008    0.000 {method 'clip' of 'numpy.ndarray' objects}
      736    0.000    0.000    0.000    0.000 traitlets.py:1132(cross_validation_lock)
      194    0.000    0.000    0.001    0.000 transforms.py:1122(get_points)
       64    0.000    0.000    0.001    0.000 axis.py:1607(_set_formatter)
      146    0.000    0.000    0.006    0.000 traitlets.py:974(__call__)
       16    0.000    0.000    0.002    0.000 transforms.py:673(intersection)
      224    0.000    0.000    0.003    0.000 colors.py:124(_check_color_like)
      244    0.000    0.000    0.001    0.000 artist.py:426(set_transform)
     1554    0.000    0.000    0.000    0.000 font_manager.py:775(get_size_in_points)
       32    0.000    0.000    0.000    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      187    0.000    0.000    0.001    0.000 text.py:1195(set_verticalalignment)
      344    0.000    0.000    0.000    0.000 transforms.py:380(height)
      103    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      761    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      631    0.000    0.000    0.000    0.000 jsonutil.py:74(json_clean)
      176    0.000    0.000    0.000    0.000 ticker.py:1897(__init__)
       84    0.000    0.000    0.001    0.000 transforms.py:1620(transform_path_non_affine)
       88    0.000    0.000    0.055    0.001 axis.py:1368(get_major_ticks)
        2    0.000    0.000    0.003    0.001 colors.py:589(__call__)
       40    0.000    0.000    0.001    0.000 spines.py:229(_adjust_location)
     1218    0.000    0.000    0.000    0.000 font_manager.py:727(get_family)
      100    0.000    0.000    0.046    0.000 <__array_function__ internals>:2(norm)
      101    0.000    0.000    0.000    0.000 {built-in method now}
      295    0.000    0.000    0.001    0.000 __init__.py:1290(_to_unmasked_float_array)
      282    0.000    0.000    0.001    0.000 lines.py:61(_scale_dashes)
  270/190    0.000    0.000    0.001    0.000 transforms.py:2380(_invalidate_internal)
     1859    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      176    0.000    0.000    0.002    0.000 {method 'sum' of 'numpy.ndarray' objects}
     1300    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       34    0.000    0.000    0.011    0.000 axis.py:2116(_update_offset_text_position)
      764    0.000    0.000    0.000    0.000 enum.py:678(__new__)
      178    0.000    0.000    0.010    0.000 <__array_function__ internals>:2(clip)
      188    0.000    0.000    0.000    0.000 transforms.py:365(intervaly)
      124    0.000    0.000    0.001    0.000 lines.py:1335(set_dash_capstyle)
      140    0.000    0.000    0.008    0.000 artist.py:1166(_cm_set)
  220/120    0.000    0.000    0.001    0.000 _base.py:915(get_yaxis_transform)
        4    0.000    0.000    0.001    0.000 backend_agg.py:87(__init__)
      643    0.000    0.000    0.001    0.000 transforms.py:222(<lambda>)
      178    0.000    0.000    0.010    0.000 fromnumeric.py:2046(clip)
      403    0.000    0.000    0.000    0.000 function_base.py:244(iterable)
       17    0.000    0.000    0.030    0.002 axis.py:414(__init__)
       44    0.000    0.000    0.005    0.000 patches.py:747(get_patch_transform)
       30    0.000    0.000    0.005    0.000 artist.py:759(set_clip_path)
      200    0.000    0.000    0.002    0.000 iostream.py:437(_schedule_flush)
      224    0.000    0.000    0.002    0.000 colors.py:111(is_color_like)
       24    0.000    0.000    0.007    0.000 spines.py:141(get_window_extent)
       85    0.000    0.000    0.001    0.000 path.py:162(_fast_from_codes_and_verts)
      103    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      386    0.000    0.000    0.002    0.000 _methods.py:42(_amin)
       46    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
      128    0.000    0.000    0.001    0.000 text.py:224(get_rotation)
      178    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(nonzero)
       98    0.000    0.000    0.000    0.000 text.py:241(set_rotation_mode)
      105    0.000    0.000    0.001    0.000 traitlets.py:2098(validate)
      504    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
       58    0.000    0.000    0.004    0.000 text.py:260(update_from)
       96    0.000    0.000    0.007    0.000 text.py:1251(set_fontproperties)
      189    0.000    0.000    0.001    0.000 text.py:957(set_horizontalalignment)
       24    0.000    0.000    0.005    0.000 patches.py:600(draw)
   157/85    0.000    0.000    0.001    0.000 _base.py:839(get_xaxis_transform)
      176    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(ptp)
      153    0.000    0.000    0.000    0.000 traitlets.py:1862(instance_init)
        2    0.000    0.000    0.000    0.000 linalg.py:476(inv)
       74    0.000    0.000    0.001    0.000 traitlets.py:1152(hold_trait_notifications)
      102    0.000    0.000    0.001    0.000 re.py:222(split)
      313    0.000    0.000    0.000    0.000 traitlets.py:2181(validate)
       88    0.000    0.000    0.039    0.000 axis.py:1275(get_majorticklocs)
       92    0.000    0.000    0.001    0.000 backend_bases.py:906(set_clip_path)
        8    0.000    0.000    0.123    0.015 axis.py:1150(draw)
       88    0.000    0.000    0.088    0.001 axis.py:1083(_get_tick_bboxes)
     1224    0.000    0.000    0.000    0.000 transforms.py:1822(get_affine)
       42    0.000    0.000    0.000    0.000 stride_tricks.py:414(_broadcast_shape)
       73    0.000    0.000    0.001    0.000 _base.py:2939(_get_axis_list)
       82    0.000    0.000    0.004    0.000 lines.py:1135(set_marker)
       10    0.000    0.000    0.037    0.004 axis.py:2342(_update_label_position)
       74    0.000    0.000    0.002    0.000 transforms.py:1813(transform_path_affine)
      124    0.000    0.000    0.000    0.000 lines.py:1069(set_linewidth)
       85    0.000    0.000    0.001    0.000 transforms.py:2678(__init__)
      740    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1218    0.000    0.000    0.000    0.000 font_manager.py:746(get_variant)
       32    0.000    0.000    0.009    0.000 scale.py:104(set_default_locators_and_formatters)
       64    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      801    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       32    0.000    0.000    0.002    0.000 ticker.py:2007(set_params)
      282    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
     1218    0.000    0.000    0.000    0.000 font_manager.py:739(get_style)
     1218    0.000    0.000    0.000    0.000 font_manager.py:907(get_math_fontfamily)
      378    0.000    0.000    0.000    0.000 __init__.py:152(<genexpr>)
      178    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
   324/84    0.000    0.000    0.030    0.000 traitlets.py:502(default)
      105    0.000    0.000    0.000    0.000 traitlets.py:2008(_validate_bounds)
     1218    0.000    0.000    0.000    0.000 font_manager.py:752(get_weight)
      101    0.000    0.000    0.237    0.002 notebook.py:255(__iter__)
     1218    0.000    0.000    0.000    0.000 font_manager.py:761(get_stretch)
      636    0.000    0.000    0.000    0.000 threading.py:546(is_set)
      124    0.000    0.000    0.000    0.000 lines.py:1034(set_drawstyle)
      108    0.000    0.000    0.003    0.000 transforms.py:2012(rotate_deg)
      124    0.000    0.000    0.002    0.000 lines.py:1022(set_color)
      136    0.000    0.000    0.001    0.000 text.py:1138(set_position)
      124    0.000    0.000    0.000    0.000 lines.py:1291(set_dash_joinstyle)
     1218    0.000    0.000    0.000    0.000 font_manager.py:778(get_file)
       94    0.000    0.000    0.000    0.000 transforms.py:2044(translate)
      368    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      116    0.000    0.000    0.000    0.000 spines.py:556(__getitem__)
      563    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000   89.406   89.406 {built-in method builtins.exec}
      458    0.000    0.000    0.000    0.000 font_manager.py:887(set_file)
      641    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       84    0.000    0.000    0.001    0.000 spines.py:134(get_patch_transform)
      110    0.000    0.000    0.001    0.000 units.py:56(_is_natively_supported)
      128    0.000    0.000    0.000    0.000 text.py:25(get_rotation)
       42    0.000    0.000    0.001    0.000 stride_tricks.py:478(broadcast_arrays)
      730    0.000    0.000    0.000    0.000 axis.py:287(get_loc)
       84    0.000    0.000    0.003    0.000 text.py:211(_get_xy_display)
       23    0.000    0.000    0.001    0.000 formatters.py:395(lookup_by_type)
      920    0.000    0.000    0.000    0.000 fromnumeric.py:3216(_around_dispatcher)
      124    0.000    0.000    0.001    0.000 lines.py:713(set_transform)
      160    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
       26    0.000    0.000    0.001    0.000 traitlets.py:1070(__init__)
       32    0.000    0.000    0.000    0.000 ticker.py:2001(_staircase)
      136    0.000    0.000    0.000    0.000 lines.py:31(_get_dash_pattern)
       55    0.000    0.000    0.001    0.000 _base.py:2942(_get_axis_map)
      736    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       44    0.000    0.000    0.001    0.000 transforms.py:1100(__init__)
      872    0.000    0.000    0.000    0.000 artist.py:896(get_rasterized)
       40    0.000    0.000    0.000    0.000 transforms.py:392(bounds)
       32    0.000    0.000    0.001    0.000 axis.py:1633(set_major_locator)
      202    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      176    0.000    0.000    0.001    0.000 lines.py:724(draw)
       29    0.000    0.000    0.006    0.000 axis.py:1338(_copy_tick_props)
       41    0.000    0.000    0.000    0.000 axis.py:202(_apply_tickdir)
      344    0.000    0.000    0.000    0.000 artist.py:271(axes)
     11/4    0.000    0.000    0.041    0.010 widget.py:425(open)
      176    0.000    0.000    0.000    0.000 ticker.py:1622(raise_if_exceeds)
      317    0.000    0.000    0.000    0.000 hmac.py:139(_current)
      317    0.000    0.000    0.000    0.000 tz.py:74(utcoffset)
      520    0.000    0.000    0.000    0.000 axis.py:558(formatter)
       88    0.000    0.000    0.000    0.000 axis.py:1381(get_minor_ticks)
        2    0.000    0.000    0.036    0.018 _base.py:1182(cla)
       32    0.000    0.000    0.001    0.000 pathlib.py:567(_parse_args)
      178    0.000    0.000    0.001    0.000 fromnumeric.py:1829(nonzero)
        2    0.000    0.000    0.444    0.222 backend_bases.py:2192(print_figure)
        2    0.000    0.000    0.001    0.001 figure.py:2154(__init__)
      205    0.000    0.000    0.001    0.000 axis.py:340(_set_artist_props)
      872    0.000    0.000    0.000    0.000 artist.py:921(get_agg_filter)
      556    0.000    0.000    0.000    0.000 widget.py:699(_trait_to_json)
      192    0.000    0.000    0.002    0.000 font_manager.py:721(__eq__)
      160    0.000    0.000    0.000    0.000 {method 'set_size' of 'matplotlib.ft2font.FT2Font' objects}
      219    0.000    0.000    0.000    0.000 _base.py:2940(<genexpr>)
       12    0.000    0.000    0.001    0.000 patches.py:59(__init__)
       24    0.000    0.000    0.008    0.000 axis.py:790(clear)
       24    0.000    0.000    0.000    0.000 axis.py:1922(_get_ticks_position)
      103    0.000    0.000    0.000    0.000 utils.py:57(__init__)
      176    0.000    0.000    0.001    0.000 _methods.py:46(_sum)
       50    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       48    0.000    0.000    0.000    0.000 patches.py:739(_convert_units)
       86    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
      404    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.180    0.090 figure.py:1598(get_tightbbox)
       16    0.000    0.000    0.020    0.001 axis.py:850(set_tick_params)
       32    0.000    0.000    0.010    0.000 axis.py:759(_set_scale)
       23    0.000    0.000    0.000    0.000 core.py:2974(__array_finalize__)
       90    0.000    0.000    0.000    0.000 backend_bases.py:869(set_alpha)
       12    0.000    0.000    0.000    0.000 arraysetops.py:320(_unique1d)
       32    0.000    0.000    0.000    0.000 axis.py:1649(set_minor_locator)
       32    0.000    0.000    0.000    0.000 axis.py:830(reset_ticks)
      124    0.000    0.000    0.000    0.000 lines.py:1349(set_solid_capstyle)
       48    0.000    0.000    0.000    0.000 transforms.py:2586(__init__)
      124    0.000    0.000    0.000    0.000 lines.py:1305(set_solid_joinstyle)
       94    0.000    0.000    0.001    0.000 artist.py:1096(set_zorder)
      448    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        4    0.000    0.000    0.245    0.061 _base.py:3013(draw)
       26    0.000    0.000    0.007    0.000 traitlets.py:1020(__new__)
       96    0.000    0.000    0.004    0.000 font_manager.py:687(_from_any)
       45    0.000    0.000    0.001    0.000 transforms.py:797(frozen)
      492    0.000    0.000    0.000    0.000 traitlets.py:210(__init__)
      385    0.000    0.000    0.000    0.000 fromnumeric.py:2362(_all_dispatcher)
       16    0.000    0.000    0.001    0.000 _base.py:4508(get_children)
       92    0.000    0.000    0.001    0.000 artist.py:886(_set_gc_clip)
        2    0.000    0.000    0.050    0.025 _base.py:553(__init__)
       25    0.000    0.000    0.000    0.000 core.py:2948(_update_from)
      105    0.000    0.000    0.001    0.000 transforms.py:2311(get_matrix)
       64    0.000    0.000    0.000    0.000 pathlib.py:147(splitroot)
       84    0.000    0.000    0.000    0.000 patches.py:287(get_patch_transform)
      110    0.000    0.000    0.001    0.000 axis.py:1495(convert_units)
        4    0.000    0.000    0.108    0.027 backend_bases.py:1595(wrapper)
      180    0.000    0.000    0.000    0.000 backend_bases.py:935(set_foreground)
       24    0.000    0.000    0.001    0.000 _base.py:939(get_yaxis_text1_transform)
      124    0.000    0.000    0.000    0.000 lines.py:1208(set_markersize)
       10    0.000    0.000    0.002    0.000 _base.py:1847(apply_aspect)
       32    0.000    0.000    0.010    0.000 artist.py:340(get_tightbbox)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      388    0.000    0.000    0.000    0.000 fromnumeric.py:193(_reshape_dispatcher)
       96    0.000    0.000    0.000    0.000 text.py:1265(set_usetex)
       74    0.000    0.000    0.004    0.000 transforms.py:1601(transform_path)
      323    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      274    0.000    0.000    0.000    0.000 axis.py:547(locator)
      178    0.000    0.000    0.000    0.000 transforms.py:1883(inverted)
       91    0.000    0.000    0.000    0.000 text.py:1052(set_fontsize)
       84    0.000    0.000    0.000    0.000 transforms.py:2226(transform_non_affine)
       30    0.000    0.000    0.004    0.000 patches.py:622(get_window_extent)
        6    0.000    0.000    0.000    0.000 arraysetops.py:519(in1d)
      124    0.000    0.000    0.000    0.000 lines.py:1193(set_markeredgewidth)
      492    0.000    0.000    0.000    0.000 traitlets.py:211(__call__)
        4    0.000    0.000    0.005    0.001 axis.py:638(__init__)
       44    0.000    0.000    0.002    0.000 transforms.py:2032(rotate_deg_around)
       11    0.000    0.000    0.006    0.001 configurable.py:50(__init__)
       26    0.000    0.000    0.007    0.000 traitlets.py:1060(setup_instance)
       44    0.000    0.000    0.000    0.000 ticker.py:677(get_offset)
       74    0.000    0.000    0.003    0.000 transforms.py:1610(transform_path_affine)
       24    0.000    0.000    0.001    0.000 _base.py:965(get_yaxis_text2_transform)
       32    0.000    0.000    0.000    0.000 pathlib.py:619(__str__)
      120    0.000    0.000    0.000    0.000 transforms.py:276(y0)
       92    0.000    0.000    0.002    0.000 backend_bases.py:658(new_gc)
       24    0.000    0.000    0.003    0.000 axis.py:503(_apply_tickdir)
      604    0.000    0.000    0.000    0.000 artist.py:1111(sticky_edges)
        2    0.000    0.000    0.000    0.000 figure.py:1646(<listcomp>)
       32    0.000    0.000    0.003    0.000 ticker.py:1945(__init__)
      316    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       48    0.000    0.000    0.001    0.000 traitlets.py:1870(make_dynamic_default)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'ImagingCore' objects}
       11    0.000    0.000    0.000    0.000 uuid.py:138(__init__)
      124    0.000    0.000    0.000    0.000 lines.py:1010(set_antialiased)
       17    0.000    0.000    0.002    0.000 axis.py:442(_apply_tickdir)
      153    0.000    0.000    0.000    0.000 traitlets.py:1866(_resolve_classes)
       47    0.000    0.000    0.001    0.000 fromnumeric.py:2268(any)
       70    0.000    0.000    0.000    0.000 artist.py:1171(<dictcomp>)
       17    0.000    0.000    0.001    0.000 _base.py:863(get_xaxis_text1_transform)
       42    0.000    0.000    0.000    0.000 artist.py:960(set_alpha)
       24    0.000    0.000    0.040    0.002 axis.py:2320(_get_tick)
      368    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
      124    0.000    0.000    0.000    0.000 lines.py:492(set_pickradius)
    20/10    0.000    0.000    0.000    0.000 units.py:181(get_converter)
      8/4    0.000    0.000    0.245    0.061 image.py:114(_draw_list_compositing_images)
       44    0.000    0.000    0.002    0.000 patches.py:842(get_bbox)
       90    0.000    0.000    0.000    0.000 formatters.py:551(_in_deferred_types)
     11/4    0.000    0.000    0.042    0.010 widget.py:409(__init__)
       62    0.000    0.000    0.000    0.000 transforms.py:266(x0)
       32    0.000    0.000    0.003    0.000 ticker.py:2740(__init__)
        8    0.000    0.000    0.001    0.000 spines.py:34(__init__)
       32    0.000    0.000    0.001    0.000 __init__.py:512(_get_data_path)
       21    0.000    0.000    0.000    0.000 traitlets.py:2499(validate)
       14    0.000    0.000    0.001    0.000 transforms.py:1070(set)
       24    0.000    0.000    0.001    0.000 markers.py:682(_set_tickleft)
       33    0.000    0.000    0.000    0.000 traitlets.py:3006(instance_init)
       25    0.000    0.000    0.000    0.000 inspect.py:2780(args)
      312    0.000    0.000    0.000    0.000 path.py:200(vertices)
      124    0.000    0.000    0.000    0.000 lines.py:537(set_markevery)
       19    0.000    0.000    0.000    0.000 __init__.py:214(connect)
       25    0.000    0.000    0.000    0.000 inspect.py:2803(kwargs)
       42    0.000    0.000    0.004    0.000 lines.py:996(get_path)
       41    0.000    0.000    0.000    0.000 axis.py:190(_set_labelrotation)
      172    0.000    0.000    0.000    0.000 spines.py:549(__getattr__)
       25    0.000    0.000    0.000    0.000 inspect.py:2833(apply_defaults)
       11    0.000    0.000    0.004    0.000 configurable.py:153(_load_config)
       17    0.000    0.000    0.001    0.000 _base.py:889(get_xaxis_text2_transform)
      104    0.000    0.000    0.000    0.000 linalg.py:112(isComplexType)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      176    0.000    0.000    0.000    0.000 ticker.py:244(set_locs)
      357    0.000    0.000    0.000    0.000 fromnumeric.py:3123(_ndim_dispatcher)
        4    0.000    0.000    0.003    0.001 image.py:161(_resample)
      575    0.000    0.000    0.000    0.000 traitlets.py:412(instance_init)
       32    0.000    0.000    0.000    0.000 scale.py:582(scale_factory)
       18    0.000    0.000    0.445    0.025 formatters.py:329(__call__)
        1    0.000    0.000    0.000    0.000 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        2    0.000    0.000    0.444    0.222 pylabtools.py:110(print_figure)
      124    0.000    0.000    0.001    0.000 lines.py:1173(set_markerfacecolor)
      289    0.000    0.000    0.000    0.000 __init__.py:80(<genexpr>)
       12    0.000    0.000    0.001    0.000 _base.py:1055(_set_position)
       12    0.000    0.000    0.000    0.000 core.py:2817(__new__)
       44    0.000    0.000    0.000    0.000 axis.py:1868(<listcomp>)
        2    0.000    0.000    0.000    0.000 gridspec.py:145(get_grid_positions)
        2    0.000    0.000    0.001    0.000 colors.py:1215(__call__)
       38    0.000    0.000    0.000    0.000 patches.py:331(_set_edgecolor)
      128    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       45    0.000    0.000    0.000    0.000 transforms.py:259(frozen)
       11    0.000    0.000    0.006    0.001 comm.py:80(open)
      122    0.000    0.000    0.000    0.000 __init__.py:1799(_str_equal)
      103    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        4    0.000    0.000    0.001    0.000 _base.py:3608(set_xlim)
       32    0.000    0.000    0.001    0.000 pathlib.py:587(_from_parts)
       25    0.000    0.000    0.001    0.000 decorator.py:199(fix)
       22    0.000    0.000    0.000    0.000 configurable.py:124(<listcomp>)
       72    0.000    0.000    0.003    0.000 axis.py:1115(<genexpr>)
      128    0.000    0.000    0.000    0.000 {method 'get_width_height' of 'matplotlib.ft2font.FT2Font' objects}
        3    0.000    0.000    0.451    0.150 formatters.py:89(format)
       11    0.000    0.000    0.013    0.001 comm.py:50(__init__)
       31    0.000    0.000    0.000    0.000 traitlets.py:2528(instance_init)
       88    0.000    0.000    0.000    0.000 ticker.py:1743(__call__)
       47    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(any)
  172/164    0.000    0.000    0.000    0.000 spines.py:200(_ensure_position_is_set)
       17    0.000    0.000    0.030    0.002 axis.py:2052(_get_tick)
      352    0.000    0.000    0.000    0.000 {built-in method math.floor}
      160    0.000    0.000    0.000    0.000 text.py:834(get_position)
       22    0.000    0.000    0.000    0.000 loader.py:234(__init__)
        6    0.000    0.000    0.003    0.001 threading.py:288(wait)
        4    0.000    0.000    0.248    0.062 figure.py:2786(draw)
       42    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(broadcast_arrays)
      140    0.000    0.000    0.000    0.000 {built-in method math.cos}
       46    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(column_stack)
        2    0.000    0.000    0.001    0.000 _base.py:2867(handle_single_axis)
       19    0.000    0.000    0.000    0.000 weakref.py:47(__new__)
       32    0.000    0.000    0.001    0.000 pathlib.py:955(__new__)
        2    0.000    0.000    0.011    0.006 ImageFile.py:476(_save)
        6    0.000    0.000    0.003    0.001 threading.py:582(wait)
       10    0.000    0.000    0.000    0.000 axis.py:2384(_update_offset_text_position)
       64    0.000    0.000    0.000    0.000 text.py:620(_get_wrapped_text)
       42    0.000    0.000    0.000    0.000 stride_tricks.py:536(<listcomp>)
        2    0.000    0.000    0.011    0.006 PngImagePlugin.py:1191(_save)
       16    0.000    0.000    0.000    0.000 axis.py:889(_translate_tick_kw)
       80    0.000    0.000    0.000    0.000 _collections_abc.py:920(__iter__)
        9    0.000    0.000    0.000    0.000 _base.py:2482(_process_unit_info)
        1    0.000    0.000    0.000    0.000 __init__.py:48(create_string_buffer)
        5    0.000    0.000    0.000    0.000 transforms.py:506(anchored)
       33    0.000    0.000    0.000    0.000 traitlets.py:1268(_add_notifiers)
        3    0.000    0.000    0.005    0.002 zmqshell.py:87(publish)
       33    0.000    0.000    0.000    0.000 traitlets.py:1327(observe)
        2    0.000    0.000    0.012    0.006 image.py:1566(imsave)
       11    0.000    0.000    0.001    0.000 configurable.py:128(_find_my_config)
       38    0.000    0.000    0.000    0.000 patches.py:357(_set_facecolor)
      124    0.000    0.000    0.000    0.000 lines.py:1183(set_markerfacecoloralt)
        2    0.000    0.000    0.001    0.000 tight_bbox.py:39(restore_bbox)
       16    0.000    0.000    0.000    0.000 _base.py:3591(_validate_converted_limits)
        6    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        2    0.000    0.000    0.001    0.001 tight_bbox.py:8(adjust_bbox)
       11    0.000    0.000    0.000    0.000 widget.py:440(_comm_changed)
      124    0.000    0.000    0.000    0.000 lines.py:1163(set_markeredgecolor)
        1    0.000    0.000    0.000    0.000 std.py:846(__init__)
       64    0.000    0.000    0.000    0.000 axis.py:551(locator)
      126    0.000    0.000    0.000    0.000 stride_tricks.py:540(<genexpr>)
      256    0.000    0.000    0.000    0.000 text.py:1279(get_usetex)
      176    0.000    0.000    0.000    0.000 fromnumeric.py:2535(_ptp_dispatcher)
       25    0.000    0.000    0.450    0.018 formatters.py:218(catch_format_error)
        4    0.000    0.000    0.000    0.000 _base.py:3939(set_ylim)
      178    0.000    0.000    0.000    0.000 fromnumeric.py:2042(_clip_dispatcher)
       32    0.000    0.000    0.000    0.000 artist.py:323(_get_clipping_extent_bbox)
       23    0.000    0.000    0.001    0.000 formatters.py:372(lookup)
       17    0.000    0.000    0.000    0.000 markers.py:702(_set_tickdown)
       12    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        5    0.000    0.000    0.000    0.000 _base.py:1833(get_data_ratio)
       85    0.000    0.000    0.000    0.000 traitlets.py:1847(validate)
       44    0.000    0.000    0.000    0.000 traitlets.py:184(parse_notifier_name)
       25    0.000    0.000    0.451    0.018 decorator.py:229(fun)
       13    0.000    0.000    0.000    0.000 transforms.py:386(size)
        6    0.000    0.000    0.004    0.001 iostream.py:451(flush)
        5    0.000    0.000    0.000    0.000 transforms.py:547(shrunk_to_aspect)
      103    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        4    0.000    0.000    0.096    0.024 backend_agg.py:429(draw)
      100    0.000    0.000    0.000    0.000 fromnumeric.py:2928(_prod_dispatcher)
       64    0.000    0.000    0.000    0.000 axis.py:562(formatter)
      260    0.000    0.000    0.000    0.000 path.py:214(codes)
        2    0.000    0.000    0.000    0.000 {built-in method binascii.b2a_base64}
       48    0.000    0.000    0.000    0.000 axis.py:1938(<genexpr>)
       19    0.000    0.000    0.000    0.000 __init__.py:119(_weak_or_strong_ref)
       30    0.000    0.000    0.000    0.000 figure.py:65(as_list)
       24    0.000    0.000    0.001    0.000 axis.py:500(_get_text2_transform)
       15    0.000    0.000    0.000    0.000 traitlets.py:2640(validate_elements)
      4/3    0.000    0.000    0.453    0.151 display_functions.py:105(display)
       24    0.000    0.000    0.000    0.000 axis.py:2226(get_ticks_position)
       32    0.000    0.000    0.000    0.000 pathlib.py:606(_format_parsed_parts)
      160    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000   89.406   89.406 <string>:1(<module>)
       33    0.000    0.000    0.000    0.000 loader.py:212(_is_section_key)
       33    0.000    0.000    0.000    0.000 __init__.py:171(check_getitem)
       11    0.000    0.000    0.000    0.000 uuid.py:713(uuid4)
       40    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(diff)
       46    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
       16    0.000    0.000    0.003    0.000 spines.py:287(draw)
       13    0.000    0.000    0.001    0.000 backend_agg.py:133(draw_path)
      140    0.000    0.000    0.000    0.000 {built-in method math.sin}
       46    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
      292    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        8    0.000    0.000    0.018    0.002 axis.py:1394(grid)
        6    0.000    0.000    0.000    0.000 arraysetops.py:369(intersect1d)
       96    0.000    0.000    0.000    0.000 text.py:1283(set_parse_math)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       12    0.000    0.000    0.000    0.000 transforms.py:2285(__init__)
       36    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 _base.py:4558(<listcomp>)
       88    0.000    0.000    0.000    0.000 axis.py:721(get_remove_overlapping_locs)
      128    0.000    0.000    0.000    0.000 ticker.py:183(set_axis)
        4    0.000    0.000    0.000    0.000 backend_bases.py:1694(__init__)
       74    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       24    0.000    0.000    0.000    0.000 markers.py:688(_set_tickright)
      100    0.000    0.000    0.000    0.000 linalg.py:2359(_norm_dispatcher)
       41    0.000    0.000    0.000    0.000 axis.py:222(get_tick_padding)
      172    0.000    0.000    0.000    0.000 {built-in method math.radians}
      166    0.000    0.000    0.000    0.000 artist.py:604(get_gid)
       10    0.000    0.000    0.000    0.000 PngImagePlugin.py:1025(putchunk)
        1    0.000    0.000    0.000    0.000 utils.py:246(_screen_shape_windows)
      178    0.000    0.000    0.000    0.000 fromnumeric.py:1825(_nonzero_dispatcher)
      322    0.000    0.000    0.000    0.000 inspect.py:2692(kind)
       33    0.000    0.000    0.000    0.000 loader.py:306(_has_section)
        4    0.000    0.000    0.001    0.000 figure.py:218(_get_draw_artists)
        4    0.000    0.000    0.000    0.000 figure.py:84(add)
        1    0.000    0.000    0.044    0.044 notebook.py:101(status_printer)
